Timestamp,File,Folder,CurrentSizeMB,HistoryVersionsMB,TotalOriginalMB,VersionsFound,PolicyApplied,VersionsDeleted,SpaceSavedMB,FinalSizeMB
"2026-04-06 23:52:40","DATA-E-306_Request_for_sales_conditions_update.xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","1.26","3.72","4.98","3","Retention 365 Days","3","3.72","1.26"
"2026-04-06 23:52:40","Infor EzRMS Company & Agent not sync to EZRMS 4.9.24.V.2xlsx.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.19","0.19","0.38","1","Retention 365 Days","1","0.19","0.19"
"2026-04-06 23:52:41","H6323-Distribution Cost-2022 11_November_MTD.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.05","0.15","0.21","3","Retention 365 Days","3","0.15","0.05"
"2026-04-06 23:52:41","Infor EzRMS Agent profile not sync to EZRMS 3.1.25 .pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.23","0.25","0.49","1","Retention 365 Days","1","0.25","0.23"
"2026-04-06 23:52:41","DELETE REMUN .xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.04","0.08","0.12","2","Retention 365 Days","2","0.08","0.04"
"2026-04-06 23:52:41","Infor EzRMS Agent &Company profile not sync to EZRMS 1.10.24.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.25","0.25","0.50","1","Retention 365 Days","1","0.25","0.25"
"2026-04-06 23:52:41","H6323-Distribution Cost-2023 4_APRIL_MTD.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.41","0.41","0.83","1","Retention 365 Days","1","0.41","0.41"
"2026-04-06 23:52:41","H6323 HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 13.3.23.xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.08","0.08","0.16","1","Retention 365 Days","1","0.08","0.08"
"2026-04-06 23:52:42","Accor Plus_New Website Offer Loading Forms_ Pullman Bangkok King Power_March 2024.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.48","5.48","10.96","1","Retention 365 Days","1","5.48","5.48"
"2026-04-06 23:52:42","Infor EzRMS Company & Agent not sync to EZRMS 23.7.24.V.2xlsx.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.13","0.26","0.40","2","Retention 365 Days","2","0.26","0.13"
"2026-04-06 23:52:43","F_Request for sales conditions update DATA-E-306.27.02.25xls.xls","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","7.94","7.93","15.87","1","Retention 365 Days","1","7.93","7.94"
"2026-04-06 23:52:43","Infor EzRMS  Company not sync to EZRMS 28.5.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.06","0.13","0.19","2","Retention 365 Days","2","0.13","0.06"
"2026-04-06 23:52:44","Infor EzRMS Company profile not sync to EZRMS 18.9.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.05","0.05","0.10","1","Retention 365 Days","1","0.05","0.05"
"2026-04-06 23:52:44","Accor Plus_New Website Offer Loading Forms_ Pullman Bangkok King Power_Oct 2023.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.48","16.44","21.92","3","Retention 365 Days","3","16.44","5.48"
"2026-04-06 23:52:45","Pullman Bangkok King Power - Budget & Forecast 2023.as of 12.09.23.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/intouch data","0.05","0.14","0.19","3","Retention 365 Days","3","0.14","0.05"
"2026-04-06 23:52:45","H6323 EXCLUSIVE OFFER 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 10.5.24.xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.08","0.08","0.16","1","Retention 365 Days","1","0.08","0.08"
"2026-04-06 23:52:45","Infor EzRMS  Company profile not sync 11.3.25.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.27","0.37","0.65","1","Retention 365 Days","1","0.37","0.27"
"2026-04-06 23:52:45","H6323-20231108-RFC 2023.xls","/sites/H6323_SPOF/DPT-RM/CHALIDA S/intouch data","0.21","0.21","0.41","1","Retention 365 Days","1","0.21","0.21"
"2026-04-06 23:52:46","H6323 HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 22.6.23.xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.08","0.16","0.24","2","Retention 365 Days","2","0.16","0.08"
"2026-04-06 23:52:46","Infor EzRMS Company & Agent not sync to EZRMS 29.5.24 .xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.13","0.25","0.38","2","Retention 365 Days","2","0.25","0.13"
"2026-04-06 23:52:46","Pullman Bangkok King Power - Budget & Forecast 2023.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/intouch data","0.05","0.16","0.21","3","Retention 365 Days","3","0.16","0.05"
"2026-04-06 23:52:46","Accor Plus_New Website Offer Loading Forms_ Pullman Bangkok King Power_May 2024 - Chalida Saipradist.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.48","5.48","10.96","1","Retention 365 Days","1","5.48","5.48"
"2026-04-06 23:52:47","Infor EzRMS Company & Agent not sync to EZRMS V.2.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.05","0.19","0.25","1","Retention 365 Days","1","0.19","0.05"
"2026-04-06 23:52:47","Infor EzRMS Agent &Company profile not sync to EZRMS 25.10.24.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.30","0.55","0.85","1","Retention 365 Days","1","0.55","0.30"
"2026-04-06 23:52:48","Re-Accor Plus_New Website Offer Loading Forms_ Pullman Bangkok King Power_Oct 2023 as of 11.10.23 xlsx.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.48","16.45","21.93","3","Retention 365 Days","3","16.45","5.48"
"2026-04-06 23:52:48","Infor EzRMS Agent &Company profile not sync to EZRMS 7.2.25.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.26","0.36","0.63","1","Retention 365 Days","1","0.36","0.26"
"2026-04-06 23:52:48","Pullman Bangkok King Power - Budget & Forecast 2023.as of 16.10.23.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/intouch data","0.06","0.30","0.36","5","Retention 365 Days","5","0.30","0.06"
"2026-04-06 23:52:49","Infor EzRMS Company profile not sync to EZRMS 27.11.24.pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.24","0.28","0.52","1","Retention 365 Days","1","0.28","0.24"
"2026-04-06 23:52:49","Accor Plus_New Website Offer Loading Forms_ Pullman Bangkok King Power_SEP 2024.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.48","16.45","21.93","3","Retention 365 Days","3","16.45","5.48"
"2026-04-06 23:52:49","Pullman Bangkok King Power - Budget & Forecast 2023.as of 8.06.23xlsx.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/intouch data","0.05","0.10","0.16","2","Retention 365 Days","2","0.10","0.05"
"2026-04-06 23:52:50","Accor Plus_New Website Offer Loading Forms_April 2023.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","1.02","1.02","2.03","1","Retention 365 Days","1","1.02","1.02"
"2026-04-06 23:52:50","Infor EzRMS  Agent not sync to EZRMS 21.5.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.07","0.12","0.19","2","Retention 365 Days","2","0.12","0.07"
"2026-04-06 23:52:50","Accor Plus_New Website Offer Loading Forms_Pullman angkok King Power June.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.60","5.60","11.21","1","Retention 365 Days","1","5.60","5.60"
"2026-04-06 23:52:50","Infor EzRMS Company & Agent not sync to EZRMS 12.9.24.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.26","0.26","0.52","1","Retention 365 Days","1","0.26","0.26"
"2026-04-06 23:52:51","F_Request for sales conditions update DATA-E-306.17.01.25xls.xls","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","7.98","7.93","15.91","1","Retention 365 Days","1","7.93","7.98"
"2026-04-06 23:52:51","Infor EzRMS Company & Agent not sync to EZRMS.xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/EZRMS","0.06","0.12","0.18","2","Retention 365 Days","2","0.12","0.06"
"2026-04-06 23:52:52","H6323 FESTIVE HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 9.11.23 - Copy.xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.08","0.08","0.15","1","Retention 365 Days","1","0.08","0.08"
"2026-04-06 23:52:52","PBKP-Master MB V101.xlsb","/sites/H6323_SPOF/DPT-RM/CHALIDA S/MASTER FILES","0.74","0.72","1.46","1","Retention 365 Days","1","0.72","0.74"
